question,shot_no,drone,missile,angle_deg,speed_mps,drop_t_s,fuse_t_s,burst_t_s,drop_point,burst_point,M1_union_s,M2_union_s,M3_union_s,total_by_missile_sum_s,runtime_s
Q5,1,FY1,M1,176.60,70.00,0.00,2.50,2.50,"(17800.00, 0.00, 1800.00)","(17625.31, 10.38, 1769.38)",11.250,6.180,3.000,20.430,40.823
Q5,2,FY1,M1,176.60,70.00,1.00,0.10,1.10,"(17730.12, 4.15, 1800.00)","(17723.14, 4.57, 1799.95)",11.250,6.180,3.000,20.430,40.823
Q5,3,FY1,M1,176.60,70.00,2.00,0.10,2.10,"(17660.25, 8.30, 1800.00)","(17653.26, 8.72, 1799.95)",11.250,6.180,3.000,20.430,40.823
Q5,4,FY2,M2,300.00,90.00,12.00,0.50,12.50,"(12540.00, 464.69, 1400.00)","(12562.50, 425.72, 1398.78)",11.250,6.180,3.000,20.430,40.823
Q5,5,FY2,M1,290.00,105.00,8.60,5.30,13.90,"(12308.84, 551.46, 1400.00)","(12499.18, 28.52, 1262.36)",11.250,6.180,3.000,20.430,40.823
Q5,6,FY2,M3,240.00,140.00,8.00,6.50,14.50,"(11440.00, 430.05, 1400.00)","(10985.00, -358.03, 1192.97)",11.250,6.180,3.000,20.430,40.823
Q5,7,FY3,M3,130.00,140.00,20.00,8.00,28.00,"(4200.19, -855.08, 700.00)","(3480.27, 2.89, 386.40)",11.250,6.180,3.000,20.430,40.823
Q5,8,FY3,M1,78.00,100.00,30.20,0.70,30.90,"(6627.89, -45.99, 700.00)","(6642.45, 22.48, 697.60)",11.250,6.180,3.000,20.430,40.823
Q5,9,FY3,M2,100.00,140.00,20.00,3.50,23.50,"(5513.79, -242.54, 700.00)","(5428.70, 240.02, 639.98)",11.250,6.180,3.000,20.430,40.823
Q5,10,FY4,M2,250.00,90.00,0.00,0.50,0.50,"(11000.00, 2000.00, 1800.00)","(10984.61, 1957.71, 1798.78)",11.250,6.180,3.000,20.430,40.823
Q5,11,FY5,M1,60.00,90.00,0.00,0.50,0.50,"(13000.00, -2000.00, 1300.00)","(13022.50, -1961.03, 1298.78)",11.250,6.180,3.000,20.430,40.823
