编号,密度,含糖率,预测概率,预测标签
1,0.697,0.46,0.9782040946800725,1
2,0.744,0.376,0.9320372939933199,1
3,0.634,0.264,0.7177817658412383,1
4,0.608,0.318,0.8452978175812702,1
5,0.556,0.215,0.5444592802672076,1
6,0.403,0.237,0.599637179006701,1
7,0.481,0.149,0.3056074266508891,0
8,0.437,0.211,0.5121778917201143,1
9,0.666,0.091,0.17547133275689333,0
10,0.243,0.267,0.677212168408911,1
11,0.245,0.057,0.09173466753627486,0
12,0.343,0.099,0.1643026425341022,0
13,0.639,0.161,0.36539775682660514,0
14,0.657,0.198,0.49838854012084843,0
15,0.36,0.37,0.9088833601944603,1
16,0.593,0.042,0.09116461827235915,0
17,0.719,0.103,0.20718992908081296,0
18,0.359,0.188,0.4180667665437497,0
19,0.339,0.241,0.6042380275593696,1
20,0.282,0.257,0.6502181575179633,1
21,0.748,0.232,0.6317656290921703,1
22,0.714,0.346,0.8972255373877369,1
23,0.483,0.312,0.8228938517131036,1
24,0.478,0.437,0.9657596283105531,1
25,0.525,0.369,0.9156880671358791,1
26,0.751,0.489,0.986014703347174,1
27,0.532,0.472,0.979725084343191,1
28,0.473,0.376,0.9209224743249914,1
29,0.725,0.445,0.9735092583273508,1
30,0.446,0.459,0.9743728579864477,1
